acoustic_data,time_to_failure
12,1.4690999832
6,1.4690999821
8,1.469099981
5,1.4690999799
8,1.4690999788
8,1.4690999777
9,1.4690999766
7,1.4690999755
-5,1.4690999744
3,1.4690999733
5,1.4690999722
2,1.4690999711
2,1.46909997
3,1.4690999689
-1,1.4690999678
5,1.4690999667
6,1.4690999656
4,1.4690999645
3,1.4690999634
5,1.4690999623
4,1.4690999612
2,1.4690999601
6,1.469099959
7,1.4690999579
7,1.4690999568
8,1.4690999557
14,1.4690999546
9,1.4690999535
4,1.4690999524
7,1.4690999513
4,1.4690999502
3,1.4690999491
4,1.469099948
8,1.4690999469
6,1.4690999458
4,1.4690999447
11,1.4690999436
9,1.4690999425
4,1.4690999414
3,1.4690999403
0,1.4690999392
3,1.4690999381
6,1.469099937
3,1.4690999359
4,1.4690999348
2,1.4690999337
3,1.4690999326
10,1.4690999315
6,1.4690999304
8,1.4690999293
11,1.4690999282
11,1.4690999271
11,1.469099926
2,1.4690999249
9,1.4690999238
7,1.4690999227
3,1.4690999216
8,1.4690999205
7,1.4690999194
4,1.4690999183
4,1.4690999172
0,1.4690999161
-4,1.469099915
2,1.4690999139
5,1.4690999128
4,1.4690999117
4,1.4690999106
6,1.4690999095
9,1.4690999084
6,1.4690999073
6,1.4690999062
0,1.4690999051
4,1.469099904
7,1.4690999029
4,1.4690999018
3,1.4690999007
5,1.4690998996
7,1.4690998985
3,1.4690998974
6,1.4690998963
6,1.4690998952
7,1.4690998941
8,1.469099893
8,1.4690998919
13,1.4690998908
8,1.4690998897
9,1.4690998886
6,1.4690998875
6,1.4690998864
-2,1.4690998853
1,1.4690998842
2,1.4690998831
3,1.469099882
6,1.4690998809
11,1.4690998798
9,1.4690998787
9,1.4690998776
12,1.4690998765
9,1.4690998754
9,1.4690998743
-1,1.4690998732
1,1.4690998721
4,1.469099871
1,1.4690998699
1,1.4690998688
3,1.4690998677
1,1.4690998666
1,1.4690998655
6,1.4690998644
7,1.4690998633
6,1.4690998622
5,1.4690998611
4,1.46909986
8,1.4690998589
6,1.4690998578
7,1.4690998567
10,1.4690998556
7,1.4690998545
3,1.4690998534
5,1.4690998523
4,1.4690998512
7,1.4690998501
3,1.469099849
2,1.4690998479
-1,1.4690998468
1,1.4690998457
7,1.4690998446
8,1.4690998435
7,1.4690998424
8,1.4690998413
3,1.4690998402
3,1.4690998391
5,1.469099838
7,1.4690998369
7,1.4690998358
4,1.4690998347
1,1.4690998336
2,1.4690998325
5,1.4690998314
5,1.4690998303
5,1.4690998292
3,1.4690998281
4,1.469099827
6,1.4690998259
6,1.4690998248
10,1.4690998237
13,1.4690998226
12,1.4690998215
5,1.4690998204
9,1.4690998193
3,1.4690998182
0,1.4690998171
-4,1.469099816
2,1.4690998149
4,1.4690998138
6,1.4690998127
7,1.4690998116
9,1.4690998105
8,1.4690998094
15,1.4690998083
11,1.4690998072
7,1.4690998061
7,1.469099805
11,1.4690998039
7,1.4690998028
5,1.4690998017
-1,1.4690998006
-4,1.4690997995
0,1.4690997984
-1,1.4690997973
3,1.4690997962
4,1.4690997951
5,1.469099794
8,1.4690997929
7,1.4690997918
8,1.4690997907
7,1.4690997896
7,1.4690997885
8,1.4690997874
5,1.4690997863
4,1.4690997852
7,1.4690997841
6,1.469099783
5,1.4690997819
2,1.4690997808
3,1.4690997797
3,1.4690997786
7,1.4690997775
6,1.4690997764
3,1.4690997753
1,1.4690997742
3,1.4690997731
6,1.469099772
2,1.4690997709
7,1.4690997698
6,1.4690997687
4,1.4690997676
7,1.4690997665
6,1.4690997654
5,1.4690997643
7,1.4690997632
1,1.4690997621
0,1.469099761
3,1.4690997599
8,1.4690997588
7,1.4690997577
8,1.4690997566
10,1.4690997555
12,1.4690997544
9,1.4690997533
10,1.4690997522
8,1.4690997511
10,1.46909975
6,1.4690997489
-1,1.4690997478
0,1.4690997467
2,1.4690997456
-1,1.4690997445
-4,1.4690997434
-2,1.4690997423
1,1.4690997412
4,1.4690997401
5,1.469099739
1,1.4690997379
2,1.4690997368
6,1.4690997357
10,1.4690997346
10,1.4690997335
8,1.4690997324
5,1.4690997313
6,1.4690997302
6,1.4690997291
8,1.469099728
5,1.4690997269
2,1.4690997258
2,1.4690997247
5,1.4690997236
3,1.4690997225
-1,1.4690997214
-5,1.4690997203
-1,1.4690997192
4,1.4690997181
5,1.469099717
7,1.4690997159
9,1.4690997148
6,1.4690997137
7,1.4690997126
5,1.4690997115
4,1.4690997104
3,1.4690997093
7,1.4690997082
5,1.4690997071
7,1.469099706
13,1.4690997049
9,1.4690997038
7,1.4690997027
6,1.4690997016
5,1.4690997005
8,1.4690996994
6,1.4690996983
7,1.4690996972
7,1.4690996961
4,1.469099695
4,1.4690996939
2,1.4690996928
3,1.4690996917
6,1.4690996906
2,1.4690996895
-2,1.4690996884
1,1.4690996873
6,1.4690996862
4,1.4690996851
5,1.469099684
5,1.4690996829
9,1.4690996818
11,1.4690996807
9,1.4690996796
6,1.4690996785
7,1.4690996774
2,1.4690996763
5,1.4690996752
7,1.4690996741
6,1.469099673
2,1.4690996719
2,1.4690996708
3,1.4690996697
7,1.4690996686
6,1.4690996675
8,1.4690996664
8,1.4690996653
9,1.4690996642
9,1.4690996631
3,1.469099662
3,1.4690996609
9,1.4690996598
5,1.4690996587
8,1.4690996576
3,1.4690996565
4,1.4690996554
0,1.4690996543
-4,1.4690996532
0,1.4690996521
5,1.469099651
3,1.4690996499
3,1.4690996488
2,1.4690996477
4,1.4690996466
6,1.4690996455
5,1.4690996444
9,1.4690996433
10,1.4690996422
9,1.4690996411
8,1.46909964
10,1.4690996389
7,1.4690996378
4,1.4690996367
4,1.4690996356
4,1.4690996345
0,1.4690996334
8,1.4690996323
10,1.4690996312
7,1.4690996301
5,1.469099629
7,1.4690996279
5,1.4690996268
9,1.4690996257
9,1.4690996246
10,1.4690996235
8,1.4690996224
5,1.4690996213
1,1.4690996202
2,1.4690996191
2,1.469099618
0,1.4690996169
5,1.4690996158
4,1.4690996147
6,1.4690996136
4,1.4690996125
10,1.4690996114
9,1.4690996103
7,1.4690996092
5,1.4690996081
10,1.469099607
6,1.4690996059
5,1.4690996048
-2,1.4690996037
-3,1.4690996026
4,1.4690996015
3,1.4690996004
6,1.4690995993
9,1.4690995982
5,1.4690995971
6,1.469099596
5,1.4690995949
3,1.4690995938
4,1.4690995927
3,1.4690995916
7,1.4690995905
4,1.4690995894
6,1.4690995883
7,1.4690995872
10,1.4690995861
12,1.469099585
9,1.4690995839
6,1.4690995828
0,1.4690995817
2,1.4690995806
4,1.4690995795
7,1.4690995784
8,1.4690995773
5,1.4690995762
10,1.4690995751
4,1.469099574
3,1.4690995729
3,1.4690995718
3,1.4690995707
9,1.4690995696
2,1.4690995685
3,1.4690995674
4,1.4690995663
4,1.4690995652
12,1.4690995641
12,1.469099563
8,1.4690995619
2,1.4690995608
4,1.4690995597
6,1.4690995586
7,1.4690995575
6,1.4690995564
3,1.4690995553
5,1.4690995542
3,1.4690995531
-1,1.469099552
4,1.4690995509
4,1.4690995498
2,1.4690995487
0,1.4690995476
-3,1.4690995465
1,1.4690995454
1,1.4690995443
9,1.4690995432
8,1.4690995421
9,1.469099541
6,1.4690995399
5,1.4690995388
6,1.4690995377
2,1.4690995366
7,1.4690995355
5,1.4690995344
6,1.4690995333
9,1.4690995322
5,1.4690995311
5,1.46909953
3,1.4690995289
10,1.4690995278
9,1.4690995267
9,1.4690995256
3,1.4690995245
-3,1.4690995234
-2,1.4690995223
5,1.4690995212
5,1.4690995201
3,1.469099519
2,1.4690995179
3,1.4690995168
-2,1.4690995157
4,1.4690995146
4,1.4690995135
2,1.4690995124
12,1.4690995113
9,1.4690995102
4,1.4690995091
8,1.469099508
6,1.4690995069
7,1.4690995058
5,1.4690995047
9,1.4690995036
10,1.4690995025
6,1.4690995014
3,1.4690995003
1,1.4690994992
-1,1.4690994981
3,1.469099497
6,1.4690994959
5,1.4690994948
2,1.4690994937
3,1.4690994926
2,1.4690994915
5,1.4690994904
11,1.4690994893
5,1.4690994882
7,1.4690994871
5,1.469099486
4,1.4690994849
8,1.4690994838
13,1.4690994827
8,1.4690994816
4,1.4690994805
5,1.4690994794
3,1.4690994783
2,1.4690994772
4,1.4690994761
4,1.469099475
7,1.4690994739
8,1.4690994728
8,1.4690994717
8,1.4690994706
6,1.4690994695
3,1.4690994684
4,1.4690994673
3,1.4690994662
2,1.4690994651
1,1.469099464
4,1.4690994629
2,1.4690994618
4,1.4690994607
5,1.4690994596
8,1.4690994585
9,1.4690994574
4,1.4690994563
4,1.4690994552
7,1.4690994541
10,1.469099453
6,1.4690994519
4,1.4690994508
9,1.4690994497
5,1.4690994486
7,1.4690994475
4,1.4690994464
0,1.4690994453
5,1.4690994442
4,1.4690994431
6,1.469099442
6,1.4690994409
3,1.4690994398
8,1.4690994387
5,1.4690994376
6,1.4690994365
0,1.4690994354
1,1.4690994343
0,1.4690994332
6,1.4690994321
5,1.469099431
8,1.4690994299
10,1.4690994288
2,1.4690994277
4,1.4690994266
5,1.4690994255
3,1.4690994244
2,1.4690994233
0,1.4690994222
0,1.4690994211
2,1.46909942
-2,1.4690994189
5,1.4690994178
10,1.4690994167
8,1.4690994156
9,1.4690994145
11,1.4690994134
9,1.4690994123
6,1.4690994112
6,1.4690994101
7,1.469099409
5,1.4690994079
6,1.4690994068
6,1.4690994057
5,1.4690994046
9,1.4690994035
7,1.4690994024
3,1.4690994013
4,1.4690994002
3,1.4690993991
3,1.469099398
6,1.4690993969
3,1.4690993958
9,1.4690993947
9,1.4690993936
8,1.4690993925
4,1.4690993914
0,1.4690993903
1,1.4690993892
2,1.4690993881
5,1.469099387
5,1.4690993859
3,1.4690993848
4,1.4690993837
3,1.4690993826
8,1.4690993815
7,1.4690993804
3,1.4690993793
5,1.4690993782
8,1.4690993771
5,1.469099376
1,1.4690993749
6,1.4690993738
3,1.4690993727
6,1.4690993716
4,1.4690993705
6,1.4690993694
1,1.4690993683
6,1.4690993672
2,1.4690993661
-2,1.469099365
4,1.4690993639
9,1.4690993628
10,1.4690993617
6,1.4690993606
6,1.4690993595
2,1.4690993584
1,1.4690993573
9,1.4690993562
4,1.4690993551
2,1.469099354
3,1.4690993529
3,1.4690993518
1,1.4690993507
4,1.4690993496
6,1.4690993485
7,1.4690993474
3,1.4690993463
4,1.4690993452
13,1.4690993441
6,1.469099343
7,1.4690993419
5,1.4690993408
3,1.4690993397
7,1.4690993386
7,1.4690993375
8,1.4690993364
2,1.4690993353
5,1.4690993342
5,1.4690993331
6,1.469099332
3,1.4690993309
7,1.4690993298
7,1.4690993287
8,1.4690993276
6,1.4690993265
5,1.4690993254
13,1.4690993243
7,1.4690993232
6,1.4690993221
6,1.469099321
0,1.4690993199
8,1.4690993188
6,1.4690993177
4,1.4690993166
6,1.4690993155
5,1.4690993144
5,1.4690993133
6,1.4690993122
4,1.4690993111
8,1.46909931
4,1.4690993089
2,1.4690993078
6,1.4690993067
4,1.4690993056
4,1.4690993045
5,1.4690993034
5,1.4690993023
8,1.4690993012
5,1.4690993001
1,1.469099299
2,1.4690992979
3,1.4690992968
9,1.4690992957
5,1.4690992946
9,1.4690992935
7,1.4690992924
7,1.4690992913
7,1.4690992902
7,1.4690992891
-1,1.469099288
6,1.4690992869
6,1.4690992858
2,1.4690992847
2,1.4690992836
5,1.4690992825
-3,1.4690992814
-1,1.4690992803
6,1.4690992792
6,1.4690992781
12,1.469099277
9,1.4690992759
4,1.4690992748
6,1.4690992737
8,1.4690992726
8,1.4690992715
6,1.4690992704
7,1.4690992693
9,1.4690992682
6,1.4690992671
8,1.469099266
4,1.4690992649
7,1.4690992638
3,1.4690992627
4,1.4690992616
6,1.4690992605
10,1.4690992594
13,1.4690992583
6,1.4690992572
7,1.4690992561
5,1.469099255
5,1.4690992539
-2,1.4690992528
-4,1.4690992517
-2,1.4690992506
3,1.4690992495
3,1.4690992484
2,1.4690992473
5,1.4690992462
4,1.4690992451
7,1.469099244
9,1.4690992429
5,1.4690992418
2,1.4690992407
3,1.4690992396
10,1.4690992385
7,1.4690992374
6,1.4690992363
6,1.4690992352
3,1.4690992341
6,1.469099233
3,1.4690992319
-2,1.4690992308
-1,1.4690992297
4,1.4690992286
2,1.4690992275
4,1.4690992264
8,1.4690992253
5,1.4690992242
9,1.4690992231
5,1.469099222
7,1.4690992209
4,1.4690992198
1,1.4690992187
5,1.4690992176
6,1.4690992165
3,1.4690992154
4,1.4690992143
4,1.4690992132
7,1.4690992121
7,1.469099211
2,1.4690992099
4,1.4690992088
3,1.4690992077
4,1.4690992066
6,1.4690992055
8,1.4690992044
9,1.4690992033
4,1.4690992022
2,1.4690992011
3,1.4690992
4,1.4690991989
7,1.4690991978
6,1.4690991967
5,1.4690991956
6,1.4690991945
9,1.4690991934
10,1.4690991923
9,1.4690991912
6,1.4690991901
3,1.469099189
4,1.4690991879
4,1.4690991868
4,1.4690991857
4,1.4690991846
7,1.4690991835
6,1.4690991824
3,1.4690991813
4,1.4690991802
7,1.4690991791
4,1.469099178
6,1.4690991769
6,1.4690991758
9,1.4690991747
10,1.4690991736
