iter	Passed	Remaining
0	1	232
1	2	214
2	3	211
3	4	212
4	5	207
5	6	200
6	7	198
7	8	195
8	9	193
9	10	194
10	11	193
11	12	192
12	13	189
13	14	187
14	15	185
15	15	183
16	16	182
17	17	181
18	18	180
19	19	179
20	20	177
21	21	176
22	22	174
23	23	174
24	24	173
25	25	172
26	26	169
27	27	167
28	28	165
29	28	163
30	29	162
31	30	160
32	31	159
33	32	158
34	33	157
35	34	155
36	35	154
37	36	153
38	36	152
39	37	151
40	38	150
41	39	148
42	40	148
43	41	146
44	42	145
45	42	143
46	43	143
47	44	141
48	45	141
49	46	140
50	47	139
51	48	138
52	49	137
53	50	136
54	51	135
55	52	134
56	53	133
57	53	132
58	54	131
59	55	130
60	56	129
61	57	128
62	58	127
63	59	126
64	60	125
65	61	124
66	62	123
67	63	122
68	63	121
69	64	120
70	65	118
71	66	117
72	67	116
73	68	115
74	68	114
75	70	114
76	71	113
77	72	112
78	72	111
79	73	110
80	74	110
81	76	109
82	77	108
83	78	107
84	79	107
85	80	106
86	80	105
87	81	104
88	82	103
89	83	102
90	84	101
91	85	100
92	86	99
93	87	98
94	88	97
95	89	96
96	90	95
97	91	95
98	92	94
99	93	93
100	94	92
101	94	91
102	96	90
103	97	89
104	98	88
105	98	87
106	99	86
107	100	85
108	101	84
109	102	83
110	103	83
111	104	82
112	105	81
113	106	80
114	107	79
115	108	78
116	109	77
117	110	76
118	111	75
119	112	75
120	113	74
121	114	73
122	115	72
123	116	71
124	117	70
125	118	69
126	119	68
127	120	67
128	121	66
129	122	65
130	123	64
131	124	63
132	124	62
133	125	62
134	126	61
135	127	60
136	128	59
137	129	58
138	131	57
139	132	56
140	132	55
141	133	54
142	134	53
143	135	52
144	136	51
145	137	50
146	138	49
147	139	48
148	139	47
149	140	46
150	141	45
151	142	45
152	143	44
153	144	43
154	145	42
155	146	41
156	147	40
157	148	39
158	149	38
159	149	37
160	150	36
161	151	35
162	152	34
163	153	33
164	154	32
165	154	31
166	155	30
167	156	29
168	157	28
169	158	27
170	159	27
171	160	26
172	161	25
173	162	24
174	163	23
175	163	22
176	164	21
177	165	20
178	166	19
179	167	18
180	168	17
181	169	16
182	169	15
183	170	14
184	171	13
185	172	12
186	173	12
187	174	11
188	175	10
189	176	9
190	177	8
191	178	7
192	178	6
193	179	5
194	180	4
195	181	3
196	182	2
197	183	1
198	184	0
199	185	0
